,rt,stimulus,key_press,ListLength,Trial_index,Phase,correct,ExperimentalPhase,Block,word1,word2,save,date,subject_id,trial_type,trial_index,time_elapsed,internal_node_id,response,cue,target,SequenceLength,sequence,letterSeen,queriedPosition,Stimulus_type,TrialType,timeMs,timeMin,score,correct_01,validTrials,validID,W2VWordPairsSim,SimBins
25794,,,,32.0,18.0,LearningResponse,TRUE,True,1.0,yarn,alpaca,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,142,308354,0.0-142.0,alpaca,yarn,alpaca,,,,,,,,,,1.0,False,True,0.7300086564131052,4
25795,,,,32.0,18.0,LearningResponse,TRUE,True,1.0,yarn,alpaca,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,145,313640,0.0-145.0,yarn,alpaca,yarn,,,,,,,,,,1.0,False,True,0.7300086564131052,4
25797,,,,32.0,19.0,LearningResponse,TRUE,True,1.0,crank,pulley,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,150,325968,0.0-150.0,pulley,crank,pulley,,,,,,,,,,1.0,False,True,0.999999982961594,5
25798,,,,32.0,19.0,LearningResponse,TRUE,True,1.0,crank,pulley,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,153,331805,0.0-153.0,crank,pulley,crank,,,,,,,,,,1.0,False,True,0.999999982961594,5
25800,,,,32.0,20.0,LearningResponse,TRUE,True,1.0,buckle,zipper,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,158,343891,0.0-158.0,zipper,buckle,zipper,,,,,,,,,,1.0,False,True,0.9488969555838095,5
25801,,,,32.0,20.0,LearningResponse,TRUE,True,1.0,buckle,zipper,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,161,349915,0.0-161.0,buckle,zipper,buckle,,,,,,,,,,1.0,False,True,0.9488969555838095,5
25803,,,,32.0,21.0,LearningResponse,TRUE,True,1.0,target,clasp,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,166,361566,0.0-166.0,clasp,target,clasp,,,,,,,,,,1.0,False,True,0.26308674621210815,2
25804,,,,32.0,21.0,LearningResponse,TRUE,True,1.0,target,clasp,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,169,368110,0.0-169.0,target,clasp,target,,,,,,,,,,1.0,False,True,0.26308674621210815,2
25806,,,,32.0,22.0,LearningResponse,TRUE,True,1.0,daisy,riser,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,174,378670,0.0-174.0,riser,daisy,riser,,,,,,,,,,1.0,False,True,0.21070634176822417,2
25807,,,,32.0,22.0,LearningResponse,TRUE,True,1.0,daisy,riser,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,177,385975,0.0-177.0,daisy,riser,daisy,,,,,,,,,,1.0,False,True,0.21070634176822417,2
25809,,,,32.0,23.0,LearningResponse,TRUE,True,1.0,branch,train,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,182,396240,0.0-182.0,train,branch,train,,,,,,,,,,1.0,False,True,0.40194710656852567,3
25810,,,,32.0,23.0,LearningResponse,TRUE,True,1.0,branch,train,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,185,402569,0.0-185.0,branch,train,branch,,,,,,,,,,1.0,False,True,0.40194710656852567,3
25812,,,,32.0,24.0,LearningResponse,TRUE,True,1.0,flower,orchid,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,190,414326,0.0-190.0,orchid,flower,orchid,,,,,,,,,,1.0,False,True,1.000000075895696,5
25813,,,,32.0,24.0,LearningResponse,TRUE,True,1.0,flower,orchid,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,193,420205,0.0-193.0,flower,orchid,flower,,,,,,,,,,1.0,False,True,1.000000075895696,5
25815,,,,32.0,25.0,LearningResponse,TRUE,True,1.0,spoon,saucer,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,198,431963,0.0-198.0,saucer,spoon,saucer,,,,,,,,,,1.0,False,True,0.999999996637915,5
25816,,,,32.0,25.0,LearningResponse,TRUE,True,1.0,spoon,saucer,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,201,437067,0.0-201.0,spoon,saucer,spoon,,,,,,,,,,1.0,False,True,0.999999996637915,5
25818,,,,32.0,26.0,LearningResponse,TRUE,True,1.0,bonsai,tulip,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,206,447898,0.0-206.0,tulip,bonsai,tulip,,,,,,,,,,1.0,False,True,0.5495629722138741,3
25819,,,,32.0,26.0,LearningResponse,TRUE,True,1.0,bonsai,tulip,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,209,453733,0.0-209.0,bonsai,tulip,bonsai,,,,,,,,,,1.0,False,True,0.5495629722138741,3
25821,,,,32.0,27.0,LearningResponse,TRUE,True,1.0,snake,koala,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,214,465015,0.0-214.0,koala,snake,koala,,,,,,,,,,1.0,False,True,0.674045570966141,4
25822,,,,32.0,27.0,LearningResponse,TRUE,True,1.0,snake,koala,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,217,471363,0.0-217.0,snake,koala,snake,,,,,,,,,,1.0,False,True,0.674045570966141,4
25824,,,,32.0,28.0,LearningResponse,TRUE,True,1.0,chin,neck,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,222,482179,0.0-222.0,neck,chin,neck,,,,,,,,,,1.0,False,True,0.6643055711409509,4
25825,,,,32.0,28.0,LearningResponse,TRUE,True,1.0,chin,neck,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,225,487596,0.0-225.0,chin,neck,chin,,,,,,,,,,1.0,False,True,0.6643055711409509,4
25827,,,,32.0,29.0,LearningResponse,TRUE,True,1.0,blower,faucet,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,230,499513,0.0-230.0,faucet,blower,faucet,,,,,,,,,,1.0,False,True,0.127666791564387,1
25828,,,,32.0,29.0,LearningResponse,TRUE,True,1.0,blower,faucet,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,233,505185,0.0-233.0,blower,faucet,blower,,,,,,,,,,1.0,False,True,0.127666791564387,1
25830,,,,32.0,30.0,LearningResponse,TRUE,True,1.0,coat,boar,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,238,515987,0.0-238.0,boar,coat,boar,,,,,,,,,,1.0,False,True,0.28153211117746574,2
25831,,,,32.0,30.0,LearningResponse,TRUE,True,1.0,coat,boar,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,241,521540,0.0-241.0,coat,boar,coat,,,,,,,,,,1.0,False,True,0.28153211117746574,2
25833,,,,32.0,31.0,LearningResponse,TRUE,True,1.0,pipe,paper,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,246,533178,0.0-246.0,paper,pipe,paper,,,,,,,,,,1.0,False,True,0.2580975669405987,2
25834,,,,32.0,31.0,LearningResponse,TRUE,True,1.0,pipe,paper,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,249,538370,0.0-249.0,pipe,paper,pipe,,,,,,,,,,1.0,False,True,0.2580975669405987,2
25836,,,,32.0,32.0,LearningResponse,TRUE,True,1.0,mast,frame,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,254,549249,0.0-254.0,frame,mast,frame,,,,,,,,,,1.0,False,True,0.4552374182405689,3
25837,,,,32.0,32.0,LearningResponse,TRUE,True,1.0,mast,frame,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,257,554668,0.0-257.0,mast,frame,mast,,,,,,,,,,1.0,False,True,0.4552374182405689,3
25898,4106.89999997616,<h1>faucet</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,1.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,345,728919,0.0-345.0,,faucet,blower,,,,4.0,,,,,,1.0,True,True,0.127666791564387,1
25899,,,,32.0,1.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,346,731076,0.0-346.0,blower,faucet,blower,,,,4.0,,,,,,1.0,True,True,0.127666791564387,1
25900,2699.70000004768,<h1>koala</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,2.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,349,735791,0.0-349.0,,koala,snake,,,,6.0,,,,,,1.0,False,True,0.674045570966141,4
25901,,,,32.0,2.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,350,737214,0.0-350.0,snake,koala,snake,,,,6.0,,,,,,1.0,False,True,0.674045570966141,4
25902,2542.59999996424,<h1>chin</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,3.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,353,741772,0.0-353.0,,chin,neck,,,,5.0,,,,,,1.0,True,True,0.6643055711409509,4
25903,,,,32.0,3.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,354,742723,0.0-354.0,neck,chin,neck,,,,5.0,,,,,,1.0,True,True,0.6643055711409509,4
25904,1851.29999995232,<h1>tulip</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,4.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,357,746584,0.0-357.0,,tulip,bonsai,,,,7.0,,,,,,1.0,True,True,0.5495629722138741,3
25905,,,,32.0,4.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,358,748368,0.0-358.0,bonsai,tulip,bonsai,,,,7.0,,,,,,1.0,True,True,0.5495629722138741,3
25906,6656.39999997616,<h1>daisy</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,5.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,361,757040,0.0-361.0,,daisy,riser,,,,11.0,,,,,,1.0,False,True,0.21070634176822417,2
25907,,,,32.0,5.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,362,758463,0.0-362.0,riser,daisy,riser,,,,11.0,,,,,,1.0,False,True,0.21070634176822417,2
25908,6571.80000001192,<h1>dough</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,6.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,365,767047,0.0-365.0,,dough,tomato,,,,18.0,,,,,,1.0,False,True,0.4452835583694612,3
25909,,,,32.0,6.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,366,768741,0.0-366.0,tomato,dough,tomato,,,,18.0,,,,,,1.0,False,True,0.4452835583694612,3
25910,2406.40000003576,<h1>orchid</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,7.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,369,773159,0.0-369.0,,orchid,flower,,,,9.0,,,,,,1.0,True,True,1.000000075895696,5
25911,,,,32.0,7.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,370,774375,0.0-370.0,flower,orchid,flower,,,,9.0,,,,,,1.0,True,True,1.000000075895696,5
25912,6796.09999996424,<h1>drink</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,8.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,373,783185,0.0-373.0,,drink,leash,,,,32.0,,,,,,1.0,False,True,0.10846355647514298,1
25913,,,,32.0,8.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,374,784649,0.0-374.0,leash,drink,leash,,,,32.0,,,,,,1.0,False,True,0.10846355647514298,1
25914,2553.80000001192,<h1>ship</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,9.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,377,789221,0.0-377.0,,ship,yacht,,,,19.0,,,,,,1.0,False,True,0.5732494750650724,3
25915,,,,32.0,9.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,378,791021,0.0-378.0,yacht,ship,yacht,,,,19.0,,,,,,1.0,False,True,0.5732494750650724,3
25916,4063.0,<h1>paper</h1><br><br><br> Please press space as soon as you recall the target.,32.0,32.0,10.0,CuePresentation,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,381,797098,0.0-381.0,,paper,pipe,,,,2.0,,,,,,1.0,True,True,0.2580975669405987,2
25917,,,,32.0,10.0,RecallResponse,TRUE,True,1.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,382,798570,0.0-382.0,pipe,paper,pipe,,,,2.0,,,,,,1.0,True,True,0.2580975669405987,2
25919,,,,22.0,1.0,LearningResponse,TRUE,True,2.0,desk,toilet,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,390,860890,0.0-390.0,toilet,desk,toilet,,,,,,,,,,1.0,False,True,0.4271657233874721,3
25920,,,,22.0,1.0,LearningResponse,TRUE,True,2.0,desk,toilet,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,393,867938,0.0-393.0,desk,toilet,desk,,,,,,,,,,1.0,False,True,0.4271657233874721,3
25922,,,,22.0,2.0,LearningResponse,TRUE,True,2.0,chip,tablet,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,398,879886,0.0-398.0,tablet,chip,tablet,,,,,,,,,,1.0,False,True,0.42313580545871754,3
25923,,,,22.0,2.0,LearningResponse,TRUE,True,2.0,chip,tablet,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,401,885599,0.0-401.0,chip,tablet,chip,,,,,,,,,,1.0,False,True,0.42313580545871754,3
25925,,,,22.0,3.0,LearningResponse,TRUE,True,2.0,chick,girl,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,406,895833,0.0-406.0,girl,chick,girl,,,,,,,,,,1.0,False,True,0.6247244966234788,4
25926,,,,22.0,3.0,LearningResponse,TRUE,True,2.0,chick,girl,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,409,901782,0.0-409.0,chick,girl,chick,,,,,,,,,,1.0,False,True,0.6247244966234788,4
25928,,,,22.0,4.0,LearningResponse,TRUE,True,2.0,money,wand,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,414,912679,0.0-414.0,wand,money,wand,,,,,,,,,,1.0,False,True,0.21512596317972674,2
25929,,,,22.0,4.0,LearningResponse,TRUE,True,2.0,money,wand,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,417,918865,0.0-417.0,money,wand,money,,,,,,,,,,1.0,False,True,0.21512596317972674,2
25931,,,,22.0,5.0,LearningResponse,TRUE,True,2.0,sponge,watch,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,422,929251,0.0-422.0,watch,sponge,watch,,,,,,,,,,1.0,False,True,0.1765920080073396,1
25932,,,,22.0,5.0,LearningResponse,TRUE,True,2.0,sponge,watch,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,425,934956,0.0-425.0,sponge,watch,sponge,,,,,,,,,,1.0,False,True,0.1765920080073396,1
25934,,,,22.0,6.0,LearningResponse,TRUE,True,2.0,poppy,crayon,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,430,947449,0.0-430.0,crayon,poppy,crayon,,,,,,,,,,1.0,False,True,0.23795970777295308,2
25935,,,,22.0,6.0,LearningResponse,TRUE,True,2.0,poppy,crayon,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,433,952639,0.0-433.0,poppy,crayon,poppy,,,,,,,,,,1.0,False,True,0.23795970777295308,2
25937,,,,22.0,7.0,LearningResponse,TRUE,True,2.0,fudge,rifle,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,438,963691,0.0-438.0,rifle,fudge,rifle,,,,,,,,,,1.0,False,True,0.025318974476643434,1
25938,,,,22.0,7.0,LearningResponse,TRUE,True,2.0,fudge,rifle,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,441,969979,0.0-441.0,fudge,rifle,fudge,,,,,,,,,,1.0,False,True,0.025318974476643434,1
25940,,,,22.0,8.0,LearningResponse,TRUE,True,2.0,knob,button,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,446,981230,0.0-446.0,button,knob,button,,,,,,,,,,1.0,False,True,0.8745436161243056,5
25941,,,,22.0,8.0,LearningResponse,TRUE,True,2.0,knob,button,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,449,986298,0.0-449.0,knob,button,knob,,,,,,,,,,1.0,False,True,0.8745436161243056,5
25943,,,,22.0,9.0,LearningResponse,TRUE,True,2.0,suit,sheet,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,454,997494,0.0-454.0,sheet,suit,sheet,,,,,,,,,,1.0,False,True,0.1534113809576238,1
25944,,,,22.0,9.0,LearningResponse,TRUE,True,2.0,suit,sheet,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,457,1003328,0.0-457.0,suit,sheet,suit,,,,,,,,,,1.0,False,True,0.1534113809576238,1
25946,,,,22.0,10.0,LearningResponse,TRUE,True,2.0,root,squash,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,462,1015852,0.0-462.0,squash,root,squash,,,,,,,,,,1.0,False,True,0.24602957778137544,2
25947,,,,22.0,10.0,LearningResponse,TRUE,True,2.0,root,squash,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,465,1021088,0.0-465.0,root,squash,root,,,,,,,,,,1.0,False,True,0.24602957778137544,2
25949,,,,22.0,11.0,LearningResponse,TRUE,True,2.0,sandal,insole,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,470,1032210,0.0-470.0,insole,sandal,insole,,,,,,,,,,1.0,False,True,0.8545205323394657,5
25950,,,,22.0,11.0,LearningResponse,TRUE,True,2.0,sandal,insole,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,473,1037794,0.0-473.0,sandal,insole,sandal,,,,,,,,,,1.0,False,True,0.8545205323394657,5
25952,,,,22.0,12.0,LearningResponse,TRUE,True,2.0,squid,fish,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,478,1048283,0.0-478.0,fish,squid,fish,,,,,,,,,,1.0,False,True,0.7524406064907906,4
25953,,,,22.0,12.0,LearningResponse,TRUE,True,2.0,squid,fish,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,481,1053888,0.0-481.0,squid,fish,squid,,,,,,,,,,1.0,False,True,0.7524406064907906,4
25955,,,,22.0,13.0,LearningResponse,TRUE,True,2.0,puddle,sand,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,486,1064788,0.0-486.0,sand,puddle,sand,,,,,,,,,,1.0,False,True,0.6764054315773257,4
25956,,,,22.0,13.0,LearningResponse,TRUE,True,2.0,puddle,sand,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,489,1070359,0.0-489.0,puddle,sand,puddle,,,,,,,,,,1.0,False,True,0.6764054315773257,4
25958,,,,22.0,14.0,LearningResponse,TRUE,True,2.0,game,pepper,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,494,1082381,0.0-494.0,pepper,game,pepper,,,,,,,,,,1.0,False,True,0.058678138270947575,1
25959,,,,22.0,14.0,LearningResponse,TRUE,True,2.0,game,pepper,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,497,1087859,0.0-497.0,game,pepper,game,,,,,,,,,,1.0,False,True,0.058678138270947575,1
25961,,,,22.0,15.0,LearningResponse,TRUE,True,2.0,cigar,flask,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,502,1099506,0.0-502.0,flask,cigar,flask,,,,,,,,,,1.0,False,True,0.4852363937058211,3
25962,,,,22.0,15.0,LearningResponse,TRUE,True,2.0,cigar,flask,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,505,1105338,0.0-505.0,cigar,flask,cigar,,,,,,,,,,1.0,False,True,0.4852363937058211,3
25964,,,,22.0,16.0,LearningResponse,TRUE,True,2.0,flag,banner,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,510,1117120,0.0-510.0,banner,flag,banner,,,,,,,,,,1.0,False,True,0.6166730372903241,4
25965,,,,22.0,16.0,LearningResponse,TRUE,True,2.0,flag,banner,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,513,1122577,0.0-513.0,flag,banner,flag,,,,,,,,,,1.0,False,True,0.6166730372903241,4
25967,,,,22.0,17.0,LearningResponse,TRUE,True,2.0,berry,pear,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,518,1132989,0.0-518.0,pear,berry,pear,,,,,,,,,,1.0,False,True,0.8311557898711097,5
25968,,,,22.0,17.0,LearningResponse,TRUE,True,2.0,berry,pear,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,521,1137980,0.0-521.0,berry,pear,berry,,,,,,,,,,1.0,False,True,0.8311557898711097,5
25970,,,,22.0,18.0,LearningResponse,TRUE,True,2.0,slime,possum,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,526,1149585,0.0-526.0,possum,slime,possum,,,,,,,,,,1.0,False,True,0.299240600347622,2
25971,,,,22.0,18.0,LearningResponse,TRUE,True,2.0,slime,possum,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,529,1155049,0.0-529.0,slime,possum,slime,,,,,,,,,,1.0,False,True,0.299240600347622,2
25973,,,,22.0,19.0,LearningResponse,TRUE,True,2.0,cake,scone,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,534,1165652,0.0-534.0,scone,cake,scone,,,,,,,,,,1.0,False,True,1.0000000320639069,5
25974,,,,22.0,19.0,LearningResponse,TRUE,True,2.0,cake,scone,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,537,1171012,0.0-537.0,cake,scone,cake,,,,,,,,,,1.0,False,True,1.0000000320639069,5
25976,,,,22.0,20.0,LearningResponse,TRUE,True,2.0,chest,dial,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,542,1181880,0.0-542.0,dial,chest,dial,,,,,,,,,,1.0,False,True,0.19790730641720147,1
25977,,,,22.0,20.0,LearningResponse,TRUE,True,2.0,chest,dial,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,545,1188343,0.0-545.0,chest,dial,chest,,,,,,,,,,1.0,False,True,0.19790730641720147,1
25979,,,,22.0,21.0,LearningResponse,TRUE,True,2.0,tape,wire,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,550,1198517,0.0-550.0,wire,tape,wire,,,,,,,,,,1.0,False,True,0.5010969904798186,3
25980,,,,22.0,21.0,LearningResponse,TRUE,True,2.0,tape,wire,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,553,1204244,0.0-553.0,tape,wire,tape,,,,,,,,,,1.0,False,True,0.5010969904798186,3
25982,,,,22.0,22.0,LearningResponse,TRUE,True,2.0,bonnet,scoop,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,558,1215915,0.0-558.0,scoop,bonnet,scoop,,,,,,,,,,1.0,False,True,0.29550152533905566,2
25983,,,,22.0,22.0,LearningResponse,TRUE,True,2.0,bonnet,scoop,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,561,1221611,0.0-561.0,bonnet,scoop,bonnet,,,,,,,,,,1.0,False,True,0.29550152533905566,2
26044,4606.90000003576,<h1>cigar</h1><br><br><br> Please press space as soon as you recall the target.,32.0,22.0,1.0,CuePresentation,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,649,1371713,0.0-649.0,,cigar,flask,,,,8.0,,,,,,1.0,False,True,0.4852363937058211,3
26045,,,,22.0,1.0,RecallResponse,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,650,1373630,0.0-650.0,flask,cigar,flask,,,,8.0,,,,,,1.0,False,True,0.4852363937058211,3
26046,2540.69999998808,<h1>slime</h1><br><br><br> Please press space as soon as you recall the target.,32.0,22.0,2.0,CuePresentation,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,653,1378182,0.0-653.0,,slime,possum,,,,5.0,,,,,,1.0,True,True,0.299240600347622,2
26047,,,,22.0,2.0,RecallResponse,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,654,1380102,0.0-654.0,possum,slime,possum,,,,5.0,,,,,,1.0,True,True,0.299240600347622,2
26048,4592.90000003576,<h1>fish</h1><br><br><br> Please press space as soon as you recall the target.,32.0,22.0,3.0,CuePresentation,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,657,1386711,0.0-657.0,,fish,squid,,,,11.0,,,,,,1.0,False,True,0.7524406064907906,4
26049,,,,22.0,3.0,RecallResponse,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,658,1389806,0.0-658.0,squid,fish,squid,,,,11.0,,,,,,1.0,False,True,0.7524406064907906,4
26050,2166.29999995232,<h1>game</h1><br><br><br> Please press space as soon as you recall the target.,32.0,22.0,4.0,CuePresentation,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,661,1393989,0.0-661.0,,game,pepper,,,,9.0,,,,,,1.0,True,True,0.058678138270947575,1
26051,,,,22.0,4.0,RecallResponse,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,662,1395645,0.0-662.0,pepper,game,pepper,,,,9.0,,,,,,1.0,True,True,0.058678138270947575,1
26052,13444.1000000238,<h1>puddle</h1><br><br><br> Please press space as soon as you recall the target.,32.0,22.0,5.0,CuePresentation,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,665,1411105,0.0-665.0,,puddle,sand,,,,10.0,,,,,,1.0,False,True,0.6764054315773257,4
26053,,,,22.0,5.0,RecallResponse,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,666,1412664,0.0-666.0,sand,puddle,sand,,,,10.0,,,,,,1.0,False,True,0.6764054315773257,4
26054,2820.5,<h1>chick</h1><br><br><br> Please press space as soon as you recall the target.,32.0,22.0,6.0,CuePresentation,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,html-keyboard-response,669,1417499,0.0-669.0,,chick,girl,,,,20.0,,,,,,1.0,False,True,0.6247244966234788,4
26055,,,,22.0,6.0,RecallResponse,TRUE,True,2.0,,,True,12_8_2023_9_45_9,cpnwoxakjr1se0c,typed-response,670,1419076,0.0-670.0,girl,chick,girl,,,,20.0,,,,,,1.0,False,True,0.6247244966234788,4
